Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
06MAGNA,06N,7.04,0.4,0.06,47.78,1.54,1.85,-0.24,,3.9,0.73,2.46,1.6,40.94,-10.37,0.85,0.75,-15.42,3.87,-16.05,1.72,35.31,-3.01,0.07,0.08,0.0,4.04,2.05,0.9,0.12,0.25,-47035000,-56.19,-5339000.0,-6.38
11BIT,11-BIT-STUDIOS,92.5,2.13,0.88,224.41,59.04,3.34,-1.73,,20.09,9.8,170.52,2.89,21.35,-98.7,0.95,0.83,-2.93,1.49,45.09,-1.47,,-1.64,0.12,0.14,0.02,6.14,1.3,0.89,0.4,0.51,-37838000,-1.96,-64009000.0,-3.32
3RGAMES,3RG,0.23,2.77,-0.01,,0.04,16.97,-0.01,,0.03,20.66,0.62,16.76,-66.92,-66.92,-3.96,-3.84,-25.05,-24.24,-14.58,-24.24,,-3.97,0.03,0.03,,,,,0.19,0.22,-42000,0.06,-603000.0,0.82
4MASS,4MS,2.95,2.1,0.65,9.56,5.18,1.2,0.78,7.92,1.68,3.7,6.26,1.21,6.65,7.99,22.01,16.73,15.15,12.55,16.27,13.95,,20.21,0.19,0.25,0.1,4.68,2.35,0.84,0.3,0.61,10251000,0.45,1281000.0,0.06
ALTA,AAT,13.61,0.16,0.11,18.83,0.03,64.24,0.11,18.96,0.19,11.42,2.2,66.11,19.26,19.51,0.83,0.83,338.77,341.07,-599.62,341.07,,0.82,0.01,0.01,0.0,5.67,1.01,0.99,0.45,0.46,1779000,1.0,972000.0,0.54
ABPL,ABE,89.07,1.26,10.5,10.67,917.46,0.12,16.8,6.67,68.34,1.64,114.88,0.13,6.32,6.84,11.78,4.58,1.83,1.14,1.8,1.46,3.94,7.33,0.61,1.58,0.12,0.88,4.82,0.44,0.67,2.89,2082030000,7.08,46553000.0,0.16
ACAUTOGAZ,ACG,16.48,1.97,2.82,11.51,24.86,1.3,3.26,9.93,8.29,3.91,32.04,1.29,7.02,9.82,17.08,11.55,13.13,11.33,13.47,12.42,33.13,13.39,0.25,0.37,0.0,255.73,1.83,0.68,0.42,0.7,51144000,1.22,-3321000.0,-0.08
ACTION,ACTION,22.99,0.86,1.99,9.98,156.14,0.13,2.24,8.86,14.38,1.38,18.46,0.12,6.58,8.23,8.67,5.03,1.44,1.28,1.27,1.53,8.51,5.66,0.42,0.72,0.11,2.98,2.95,0.64,0.54,1.42,246948000,5.33,-23432000.0,-0.51
ADIUVO,ADIUVO-INVESTMENT,-2.49,,-0.08,,0.03,35.39,-0.06,,-2.9,,3.12,90.24,-65.21,-50.0,3.28,-11.56,-180.48,-235.53,-237.72,89.04,,-8.86,4.68,-1.33,-0.04,0.18,-7.91,-3.38,8.17,-67.53,43323000,-68.66,25011000.0,-39.64
AGORA,AGORA,14.67,0.7,0.13,78.45,31.0,0.33,1.68,6.11,-19.52,,25.97,0.84,4.67,15.49,0.89,0.3,5.41,0.42,4.87,1.68,36.0,3.91,0.65,1.91,1.13,1.1,0.91,0.73,3.3,1.41,1160635000,4.48,732676000.0,2.83
AGROTON,AGROTON,18.06,0.55,0.97,10.34,14.32,0.7,2.35,4.25,1.69,5.93,16.1,1.12,4.67,6.84,5.35,3.61,16.44,6.75,10.25,8.19,18.88,8.8,0.32,0.48,0.38,0.7,1.52,0.93,0.84,0.92,157118724,2.11,132104952.0,1.77
AIRWAY,AIRWAY-MEDIX,-0.34,,-0.15,,0.0,1706.07,-0.08,,-0.35,,0.56,3462.32,-6.86,-6.76,44.56,-447.06,-51216.67,-94291.67,-39866.67,-94291.67,,-242.83,11.03,-1.1,-0.39,0.01,-26.62,-6.15,14.35,-622.72,27686000,-4.57,21075000.0,-3.48
ALLEGRO,ALE,9.85,3.17,1.03,30.33,10.35,3.02,1.76,17.79,-3.62,,33.69,3.25,12.3,19.17,10.47,5.55,16.98,9.96,21.38,13.87,,9.46,0.47,0.89,0.66,0.15,1.21,0.88,1.71,1.25,5127657000,1.77,2563028000.0,0.89
AIGAMES,ALG,-0.09,,0.0,425.13,0.03,36.4,-0.02,,-0.26,,1.16,38.93,-67.09,-48.91,-2.86,0.82,-79.59,8.56,-83.98,-29.46,99.65,-7.66,1.12,-3.89,-0.82,0.06,-0.07,-0.05,4.06,-1.62,26272000,-20.09,5697000.0,-4.36
ALIOR,ALIOR-BANK,90.72,1.32,17.95,6.67,64.09,1.87,23.53,5.09,,,,,,,19.79,2.43,36.71,28.01,,,,3.18,0.88,7.16,,,,,,,57197611000,17.13,,
AILLERON,ALL,8.1,2.86,1.78,13.04,48.06,0.48,5.43,4.26,-11.5,,36.12,0.75,4.92,6.65,21.92,3.62,11.3,3.69,10.72,9.47,27.73,11.07,0.58,3.49,2.17,0.2,0.79,0.52,1.69,0.42,265355000,2.93,160282000.0,1.77
ALTUS,ALTUS,3.38,0.65,0.35,6.23,1.21,1.82,0.29,7.5,3.64,0.6,1.99,1.65,6.06,6.79,10.45,8.24,24.32,29.26,20.17,39.93,,6.84,0.11,0.14,0.02,1.37,19.41,0.8,0.11,2.16,-125626000,-9.34,-8543000.0,-0.64
AMBRA,AMBRA,16.77,1.29,1.95,11.07,35.46,0.61,3.63,5.95,6.63,3.26,23.89,0.67,4.92,6.58,11.64,6.23,10.24,5.51,9.98,9.37,17.08,11.59,0.36,0.67,0.16,3.09,1.44,0.62,0.63,0.78,248471000,2.03,57735000.0,0.47
AMICA,AMICA,133.02,0.5,0.44,151.62,323.09,0.21,7.72,8.59,27.3,2.43,82.99,0.26,5.32,10.76,0.33,0.18,2.39,0.14,1.59,0.88,26.71,3.13,0.46,0.86,0.12,4.25,1.41,0.6,0.81,1.01,773900000,6.39,129800000.0,1.07
ANSWEAR,ANR,11.97,1.99,-0.11,,82.85,0.29,0.93,25.62,0.45,53.32,41.0,0.49,19.02,44.13,-0.92,-0.23,1.12,-0.13,1.78,-0.09,,1.91,0.75,3.06,0.59,1.08,1.65,0.39,0.99,1.03,669692000,16.37,326388000.0,7.98
APATOR,APATOR,18.42,0.98,2.24,8.06,37.22,0.49,2.59,6.98,3.28,5.5,21.6,0.58,4.85,8.35,12.16,7.42,6.95,6.02,8.55,6.8,26.29,8.57,0.39,0.63,0.1,4.31,1.33,0.67,0.78,0.95,356154000,2.45,115691000.0,0.8
APLISENS,APLISENS,20.34,0.98,1.56,12.7,13.3,1.49,1.92,10.35,10.22,1.94,18.94,1.42,6.93,9.87,7.68,7.14,14.42,11.75,14.48,14.85,36.17,8.76,0.05,0.05,0.01,67.36,1.93,0.93,0.09,0.18,-9518000,-0.31,-10149000.0,-0.33
AUTOPARTN,APR,9.75,1.85,1.58,11.36,32.09,0.56,2.22,8.12,6.05,2.98,21.52,0.67,8.14,9.7,16.25,9.77,6.91,4.94,7.07,6.14,27.18,13.68,0.4,0.66,0.36,0.97,3.58,0.82,0.52,1.36,780683000,2.26,459913000.0,1.33
APSENERGY,APS-ENERGIA,0.53,5.69,-1.11,,3.38,0.89,-0.47,,-0.91,,3.75,1.11,-9.75,-7.91,-211.99,-37.08,-14.05,-33.01,-2.49,-35.91,29.69,-15.78,0.83,4.72,0.57,3.45,0.58,0.28,1.58,0.58,68297000,-6.3,21416000.0,-1.98
ARCTIC,ARCTIC-PAPER,21.17,0.74,0.85,18.56,47.51,0.33,1.31,11.97,3.01,5.22,17.78,0.37,5.87,13.57,3.99,2.04,2.76,1.78,0.73,2.03,14.93,3.17,0.38,0.74,0.16,6.16,1.09,0.6,0.84,0.78,859152000,4.09,145098000.0,0.69
ARCHICOM,ARH,20.91,2.06,0.24,177.24,8.37,5.13,0.9,47.91,6.66,6.46,57.75,6.9,55.26,64.35,1.16,0.45,10.72,2.9,3.82,9.48,39.43,1.68,0.61,1.55,0.7,0.04,2.5,0.67,0.83,1.22,1789334000,29.27,863050000.0,14.12
ARTIFEX,ARTIFEX,9.75,1.63,2.39,6.63,8.6,1.84,2.43,6.51,8.45,1.88,15.84,1.84,6.12,6.51,24.51,20.28,28.31,27.79,28.35,30.37,88.45,20.66,0.17,0.21,0.05,1.37,7.87,0.87,0.19,1.45,-4870000,-0.16,-99000.0,-0.0
ASBIS,ASBISC,21.5,1.2,3.44,7.51,216.41,0.12,6.19,4.18,15.13,1.71,40.74,0.19,5.99,6.58,16.0,4.56,2.86,1.59,2.86,1.9,7.68,8.2,0.72,2.51,0.08,2.93,3.66,0.31,0.78,2.64,2617483605,6.94,826979522.0,2.19
ASSECOBS,ASSECO-BUSINESS-SOLUTIONS,12.48,5.56,3.57,19.42,13.08,5.31,3.82,18.16,0.61,113.99,68.98,5.27,13.73,18.05,28.63,22.37,29.21,27.32,29.07,29.21,43.24,23.92,0.22,0.28,0.1,2.15,1.16,0.86,0.85,0.89,51460000,0.31,-13981000.0,-0.08
ASSECOPOL,ASSECO-POLAND,66.63,2.37,6.4,24.7,210.35,0.75,22.19,7.12,-14.87,,167.03,0.79,5.18,7.53,9.6,2.67,10.55,3.04,10.55,9.95,23.03,9.28,0.52,1.88,0.65,0.5,0.86,0.46,1.13,0.59,7319900000,2.73,749400000.0,0.28
ASSECOSEE,ASSECO-SOUTH-EASTERN-EUROPE,20.56,2.91,3.62,16.5,33.56,1.78,4.4,13.59,-5.45,,67.88,2.02,10.7,15.42,17.62,8.31,13.12,10.8,12.93,13.84,25.77,10.09,0.52,1.11,0.52,0.45,1.2,0.72,1.31,1.03,879352000,2.67,419189000.0,1.27
ASTARTA,ASTARTA,91.31,0.58,13.83,3.84,97.42,0.55,18.48,2.87,24.83,2.14,72.69,0.75,2.7,3.93,15.15,11.16,18.97,14.2,20.94,15.1,38.05,14.91,0.26,0.36,0.23,2.82,1.69,0.91,0.57,0.78,652320217,0.97,489696208.0,0.73
ATAL,ATAL,40.64,1.43,5.0,11.63,28.54,2.04,5.83,9.96,36.12,1.61,82.08,2.88,13.83,14.07,12.3,5.05,20.44,17.51,20.23,21.65,24.95,5.89,0.59,1.44,0.56,0.01,14.05,0.64,0.62,5.55,2395869000,9.34,1036182000.0,4.04
ATENDE,ATENDE,2.05,1.37,0.01,516.56,10.12,0.28,-0.23,,-0.32,,3.02,0.3,36.05,-13.11,0.26,0.09,-2.28,0.05,-1.73,-2.89,14.48,-3.83,0.69,2.04,0.41,0.88,1.33,0.48,1.08,1.02,132507000,43.54,7933000.0,2.61
ATLANTAPL,ATLANTA-POLAND,19.31,0.96,2.66,6.94,82.1,0.23,4.37,4.23,11.13,1.66,26.34,0.32,5.08,6.02,13.8,5.92,5.33,3.25,5.06,4.13,16.32,9.71,0.57,1.33,0.14,2.83,2.7,0.49,0.7,1.65,149488000,4.74,47763000.0,1.51
ATMGRUPA,ATM-GRUPA,3.72,1.06,0.28,14.17,2.94,1.33,0.41,9.55,0.67,5.84,4.12,1.4,5.59,10.04,7.44,5.19,13.95,9.4,13.25,12.84,20.43,7.7,0.3,0.43,0.14,3.97,1.39,0.8,0.7,0.86,72575000,1.17,16922000.0,0.27
ATREM,ATREM,6.08,4.41,2.03,13.21,21.46,1.25,2.49,10.77,1.02,26.32,28.12,1.31,10.29,11.3,33.37,12.19,11.6,9.46,11.09,12.1,19.15,14.95,0.63,1.74,0.15,1.36,1.38,0.42,0.91,1.1,39928000,1.58,12172000.0,0.48
ATLANTIS,ATS,2.08,,0.0,,0.12,,0.12,,2.08,,,,,,0.05,0.05,96.56,0.79,85.2,0.79,100.0,5.73,0.0,0.0,,,,,0.0,,-20882008,-17.26,-4279.0,-0.0
GRUPAAZOTY,ATT,45.69,0.45,-10.3,,135.75,0.15,-9.12,,-131.61,,104.67,0.77,457.23,-11.48,-22.53,-4.06,-6.72,-7.58,-9.95,-7.63,5.27,-3.59,0.8,4.47,0.69,5.12,0.42,0.3,2.82,0.71,18014062000,793.29,8341423000.0,367.33
BRAND24,B24,5.55,9.74,0.31,176.63,16.46,3.28,-0.14,,-1.67,,52.34,3.18,30.01,-370.78,5.51,2.51,-0.86,1.86,-2.18,0.1,50.13,-1.16,0.54,1.2,0.37,1.01,1.05,0.62,1.34,1.03,6914000,1.75,-3755000.0,-0.95
HANDLOWY,BANK-HANDLOWY,79.27,1.47,13.33,8.73,39.07,2.98,17.54,6.64,,,,,,,16.81,2.26,44.9,34.11,,,,2.97,0.87,6.45,,,,,,,24986252000,10.43,,
MILLENNIUM,BANK-MILLENNIUM,6.6,2.14,0.63,22.28,8.22,1.72,0.88,16.13,,,,,,,9.61,0.54,10.67,7.73,,,,0.74,0.94,16.82,,,,,,,70224886000,54.35,,
BOS,BANK-OCHRONY-SRODOWISKA,24.32,0.49,0.49,24.45,17.48,0.69,0.97,12.36,,,,,,,2.02,0.2,5.55,2.81,,,,0.39,0.9,9.34,,,,,,,8851077000,51.61,,
BBIDEV,BBI-DEVELOPMENT,16.24,0.36,0.26,22.45,1.7,3.42,0.58,9.98,-6.64,,13.11,7.72,22.55,22.55,1.59,1.01,34.24,15.22,-29.48,9.96,28.73,2.28,0.35,0.55,0.34,0.08,0.95,0.85,3.88,2.72,79205000,13.45,74038000.0,12.57
BOOMBIT,BBT,5.4,1.43,0.26,30.16,15.74,0.49,0.75,10.26,-0.23,,6.79,0.43,3.28,9.05,4.73,2.91,4.77,1.62,5.37,1.81,12.42,8.57,0.38,0.62,0.15,0.13,1.1,0.71,1.07,1.03,32369000,1.15,-12361000.0,-0.44
BIGCHEESE,BCS,5.14,2.54,0.95,13.7,3.12,4.18,1.05,12.42,4.78,2.73,11.74,3.76,10.2,11.17,18.51,16.34,33.64,30.48,34.42,32.95,,18.04,0.12,0.13,0.02,1.88,14.72,0.9,0.12,1.79,-3312000,-0.7,-5388000.0,-1.13
BIOCELTIX,BCX,7.03,14.0,-2.94,,0.0,,-2.98,,6.49,15.16,91.82,,-32.29,-30.86,-41.84,-36.85,,,,,,-37.27,0.11,0.12,0.0,15.58,11.55,0.89,0.12,1.35,-28275000,2.02,-32403000.0,2.31
BENEFIT,BENEFIT-SYSTEMS,417.82,6.9,138.27,20.87,1184.4,2.44,202.2,14.27,-555.2,,3291.33,2.78,10.1,16.28,33.09,9.26,17.07,11.67,17.49,15.94,35.48,13.54,0.72,2.57,1.8,0.82,1.2,0.78,2.07,0.89,1959221000,2.01,1217247000.0,1.25
BEST,BEST,39.47,0.68,3.86,7.0,17.86,1.51,7.45,3.62,31.66,0.85,60.28,3.37,7.62,8.09,9.78,4.56,41.71,21.6,41.71,21.74,,8.8,0.53,1.15,0.78,0.04,9.0,0.83,0.59,2.97,900478000,5.03,753910000.0,4.21
BETACOM,BETACOM,4.96,0.83,0.39,10.58,47.17,0.09,0.48,8.6,0.52,7.86,0.26,0.01,0.18,0.54,7.81,2.31,1.01,0.82,1.26,1.1,13.99,2.84,0.7,2.37,0.4,0.21,1.53,0.41,0.96,1.04,30301000,5.26,-15531000.0,-2.7
BIOPLANET,BIO-PLANET,9.35,1.96,1.04,17.52,94.7,0.19,1.84,9.95,-7.52,,18.26,0.19,6.38,9.93,11.16,2.74,1.94,1.1,2.06,1.32,,4.82,0.73,2.98,0.62,2.79,0.9,0.4,1.37,0.72,83407000,9.72,-126000.0,-0.01
BIOMAXIMA,BIOMAXIMA,11.41,1.11,0.21,60.93,13.5,0.94,0.47,27.28,-0.6,,16.26,1.2,12.62,34.94,1.83,1.1,3.45,1.54,1.83,1.3,,2.46,0.4,0.66,0.24,4.37,1.18,0.75,1.09,1.03,31091000,5.76,14943000.0,2.77
BIOTON,BIOTON,6.81,0.54,-0.19,,2.75,1.33,-0.05,,-0.58,,4.21,1.53,11.13,-82.53,-2.81,-2.14,-1.86,-6.96,-2.24,-5.37,28.63,-0.57,0.24,0.31,0.1,5.12,1.01,0.84,1.37,1.26,181166000,5.58,47043000.0,1.45
BLOOBER,BLOOBER-TEAM,6.59,4.47,0.52,56.35,3.92,7.51,0.6,49.12,-1.23,,29.33,7.48,22.02,48.93,7.92,5.16,15.29,13.33,-0.02,13.9,29.06,5.92,0.34,0.52,0.11,1.06,0.92,0.72,1.56,1.3,43571000,1.69,-2281000.0,-0.09
BNPPPL,BNP,109.51,1.0,16.98,6.48,79.73,1.38,21.7,5.07,,,,,,,15.5,1.52,27.21,21.29,,,,1.94,0.9,9.2,,,,,,,86821203000,23.32,,
BOGDANKA,BOGDANKA,87.58,0.24,-36.78,,109.31,0.19,-45.85,,19.9,1.06,-3.79,-0.03,0.11,0.08,-42.0,-30.18,-41.95,-33.65,19.8,-41.33,26.6,-37.62,0.28,0.39,0.17,3.89,1.5,0.84,0.63,0.81,80763000,-0.07,-843258000.0,0.69
BORYSZEW,BORYSZEW,6.56,0.57,0.46,8.2,21.27,0.18,0.78,4.82,-1.27,,7.1,0.33,4.91,9.12,6.98,2.95,3.66,2.15,-0.37,1.97,7.38,5.01,0.57,1.34,0.36,2.74,1.11,0.57,1.17,0.96,1869071000,5.39,803132000.0,2.31
BOWIM,BOWIM,15.61,0.35,-0.82,,92.33,0.06,0.01,401.47,6.22,0.87,5.13,0.06,10.35,382.12,-5.27,-2.8,0.01,-0.89,-0.56,-1.04,,0.05,0.46,0.86,0.12,3.44,1.78,0.59,0.68,1.09,241062000,24.91,-5069000.0,-0.52
BUDIMEX,BUDIMEX,52.7,10.73,23.94,23.63,357.03,1.58,28.97,19.52,-30.07,,460.48,1.29,13.04,15.89,45.42,7.93,8.12,6.7,7.67,8.95,12.72,9.6,0.82,4.69,0.76,0.98,1.1,0.31,1.14,0.71,3331217000,3.7,-2681093000.0,-2.98
BUMECH,BUMECH,-29.0,,-77.61,,23.71,0.34,-32.55,,-43.74,,41.09,1.73,-1.36,-1.26,267.64,-259.21,-137.27,-327.25,-32.95,-265.35,-16.68,-108.74,1.97,-2.03,-0.78,0.6,-0.43,-0.21,3.88,-7.63,838968000,-1.92,477774000.0,-1.09
CAPITEA,CAP,1.86,0.25,0.73,0.62,1.65,0.28,0.86,0.53,1.54,0.3,-0.17,-0.1,-0.19,-0.2,39.35,14.81,51.82,44.31,50.69,44.5,,17.32,0.61,1.62,0.77,0.05,8.82,0.66,0.66,3.24,-145148000,-1.62,-63116000.0,-0.71
CAPITAL,CAPITAL-PARTNERS,0.05,3.23,-0.08,,0.0,,-0.08,,0.05,3.23,0.17,,-1.99,-1.99,-159.83,-131.92,,,,,,-134.04,0.17,0.21,,,,,0.17,,-439000,0.58,-3000.0,0.0
CASPAR,CASPAR-ASSET-MANAGEMENT,2.81,2.3,0.22,29.39,4.27,1.51,0.26,25.09,1.0,6.42,6.37,1.49,11.71,24.77,7.82,4.83,6.03,5.14,5.74,6.25,,5.65,0.26,0.42,,,,,0.54,0.64,-3583000,-0.67,-824000.0,-0.15
CAVATINA,CAV,46.51,0.32,0.32,46.91,7.24,2.08,3.17,4.76,-53.8,,94.29,13.02,27.51,29.74,0.69,0.23,43.78,4.44,23.35,4.89,50.33,2.24,0.67,2.04,1.53,0.04,1.17,0.83,2.3,1.07,2337683000,26.83,2013594000.0,23.11
CYBERFLKS,CBF,22.42,6.76,8.07,18.78,49.61,3.05,10.33,14.67,-51.08,,190.45,3.84,14.46,18.45,35.99,7.16,20.81,16.27,20.86,26.52,,9.16,0.61,3.05,2.2,0.12,0.75,0.64,3.94,0.93,783903000,4.2,552368000.0,2.96
CCC,CCC,33.31,6.53,14.42,15.08,150.83,1.44,15.98,13.61,-31.74,,269.48,1.79,10.85,16.86,43.3,10.31,10.59,9.56,9.85,9.15,50.11,11.43,0.76,3.19,1.09,1.34,1.06,0.5,1.43,0.73,6857400000,4.01,3579800000.0,2.09
CDPROJEKT,CD-PROJEKT,28.95,7.32,4.56,46.42,9.85,21.49,3.8,55.72,11.64,18.2,209.85,21.29,43.11,55.2,15.76,14.61,38.58,46.3,37.6,45.32,76.48,12.18,0.07,0.08,0.01,12.74,1.69,0.93,0.16,0.27,-948242000,-1.95,-195326000.0,-0.4
CDRL,CDL,15.02,0.84,1.9,6.65,43.94,0.29,-0.43,,4.14,3.04,18.05,0.41,11.91,-42.16,12.62,6.26,-0.97,4.31,-0.41,4.73,,-1.41,0.5,1.02,0.07,6.36,1.48,0.53,0.79,1.09,80534000,8.84,32795000.0,3.6
CEZ,CEZ,79.46,2.33,9.16,20.21,109.32,1.69,28.49,6.5,-123.29,,257.19,2.35,5.76,9.03,11.53,3.27,26.06,8.38,25.83,23.04,,10.16,0.7,2.48,1.78,1.26,1.07,0.79,2.66,1.03,88504345800,3.68,38786326800.0,1.61
CIGAMES,CI-GAMES,0.81,2.07,-0.03,,0.39,4.23,-0.02,,-0.33,,1.75,4.43,8.19,-72.39,-3.82,-2.42,-6.12,-7.81,-5.49,-6.65,27.6,-1.9,0.36,0.56,0.33,0.03,0.93,0.84,3.81,2.66,78948000,1.94,14778000.0,0.36
CLNPHARMA,CLNPHARMA,7.79,3.36,-0.81,,4.01,6.53,-0.7,,0.83,31.5,26.13,6.51,95.76,-37.34,-10.45,-8.42,-17.44,-20.29,-24.99,-22.67,,-7.23,0.2,0.24,0.07,10.34,1.2,0.86,0.69,0.78,49144000,3.34,-3573000.0,-0.24
CLOUD,CLOUD-TECHNOLOGIES,17.29,2.45,2.13,19.91,9.34,4.54,2.07,20.53,5.85,7.25,39.89,4.27,8.36,19.31,12.32,11.06,22.11,22.8,17.18,21.6,,10.72,0.1,0.11,0.04,2.54,1.57,0.93,0.25,0.38,-14272000,-0.6,-12563000.0,-0.53
COALENERG,COAL-ENERGY,-1.08,,-1.08,,0.11,9.59,0.06,16.47,-1.1,,1.03,9.73,25.16,16.72,99.65,-520.09,58.22,-1017.63,7.66,39.81,32.75,29.76,6.31,-1.21,,,,,6.35,-5964.59,57487692,31.16,698005.0,0.38
COGNOR,COGNOR,6.35,1.27,-0.43,,12.54,0.64,-0.28,,-3.21,,13.38,1.07,582.61,-47.21,-6.81,-2.65,-2.26,-3.45,-6.75,-4.42,1.9,-1.74,0.58,1.5,0.38,4.04,0.87,0.54,1.51,0.96,1506932000,382.66,914378000.0,232.19
COLUMBUS,COLUMBUS-CAPITAL,-1.4,,-0.61,,4.84,1.67,0.17,46.85,-8.64,,15.96,3.3,38.72,92.54,43.59,-6.12,3.56,-12.59,9.24,-8.98,,1.73,1.14,-8.11,-0.44,9.68,-0.11,-0.08,4.2,-0.81,762398000,26.89,541918000.0,19.12
COMP,COMP,98.66,1.88,9.18,20.14,203.32,0.91,16.7,11.08,-13.86,,204.26,1.0,7.33,12.23,9.31,5.17,8.21,4.52,8.78,6.67,32.1,9.39,0.44,0.79,0.24,0.55,1.08,0.69,1.22,1.06,300699000,2.39,87006000.0,0.69
COMPERIA,COMPERIA-PL,4.19,1.19,-1.76,,14.63,0.34,-1.98,,0.28,17.91,5.55,0.38,-5.32,-2.81,-41.96,-24.64,-13.53,-12.02,-9.77,-13.79,,-27.74,0.41,0.7,0.06,1.57,1.13,0.62,0.91,0.98,10156000,-2.75,1947000.0,-0.53
CORMAY,CORMAY,0.59,0.86,-0.05,,1.09,0.47,-0.04,,0.04,12.73,0.57,0.52,17.91,-15.93,-8.81,-5.06,-3.25,-4.79,-3.86,-4.84,37.62,-3.43,0.42,0.73,0.11,4.53,1.18,0.64,0.92,0.97,34485000,12.97,4341000.0,1.63
CELTIC,CPD,-0.25,,-0.22,,0.0,836.84,-0.22,,-0.25,,2.97,887.58,-13.73,-13.73,85.9,-457.75,-6466.67,-6500.0,-6486.67,-6506.67,100.0,-455.4,6.33,-1.19,,,,,6.33,,1229000,-1.27,761000.0,-0.78
COMPREMUM,CPR,3.85,0.3,-1.46,,1.57,0.74,-0.13,,1.11,1.06,4.46,2.84,-60.06,-34.46,-37.89,-13.53,-8.23,-92.74,-47.49,-40.5,-33.71,-1.2,0.64,1.8,0.6,0.36,2.22,0.57,0.86,1.2,309517000,-92.98,147495000.0,-44.31
CREOTECH,CRI,61.02,3.47,-6.61,,21.66,9.79,-8.2,,12.56,16.87,176.68,8.16,-40.49,-21.54,-10.83,-6.27,-37.87,-30.5,-34.31,-37.24,,-7.78,0.42,0.73,0.39,0.66,1.74,0.8,0.78,0.98,-493000,0.05,-84037000.0,8.09
CREEPYJAR,CRJ,161.94,2.18,25.14,14.04,46.1,7.66,22.78,15.5,114.69,3.08,303.94,6.59,12.42,13.34,15.52,14.8,49.4,54.52,50.8,61.06,,13.41,0.04,0.04,0.01,4.41,3.41,0.96,0.06,0.2,-75340000,-4.4,-34312000.0,-2.0
CITYSERV,CTS,4.01,1.33,0.97,5.51,15.09,0.35,1.21,4.42,-1.53,,8.44,0.56,5.71,6.98,24.21,7.44,8.01,6.44,7.58,7.1,26.49,9.26,0.69,2.25,0.86,0.12,1.34,0.57,1.2,0.87,247753822,5.3,97823766.0,2.09
CAPTORTX,CTX,9.85,3.96,-7.22,,2.53,15.39,-7.27,,8.36,4.66,36.83,14.53,-5.82,-5.06,-73.33,-53.59,-286.95,-285.11,-325.4,-285.11,67.1,-53.94,0.27,0.37,0.05,2.69,6.93,0.76,0.3,2.0,-41473000,1.19,-11936000.0,0.34
CYFRPLSAT,CYFROWY-POLSAT,25.32,0.6,0.96,15.76,22.5,0.67,2.7,5.6,-17.8,,34.03,1.51,5.75,12.63,3.79,1.68,11.98,4.26,12.31,6.47,,4.72,0.53,1.2,0.89,0.57,1.08,0.84,2.42,1.38,16894900000,4.46,12103300000.0,3.2
CZTOREBKA,CZERWONA-TOREBKA,1.33,0.35,-0.15,,0.15,3.07,-0.2,,0.56,0.83,0.12,0.82,-0.64,-0.63,-11.49,-4.68,-129.84,-101.08,-168.01,-167.2,7.45,-6.01,0.6,1.46,0.42,0.18,2.48,0.58,0.78,1.36,119329000,-8.26,-25530000.0,1.77
DADELO,DAD,10.36,2.23,1.11,20.8,26.5,0.87,1.48,15.66,6.72,3.44,30.48,1.15,15.59,20.66,10.71,4.61,5.57,4.19,5.89,5.18,31.8,6.12,0.57,1.33,0.07,4.04,3.05,0.46,0.67,1.91,155610000,6.82,86190000.0,3.78
DATAWALK,DAT,-0.84,,-5.25,,5.62,9.98,-5.33,,-6.1,,54.2,9.64,-11.48,-10.17,622.94,-50.58,-94.86,-93.4,-78.62,-95.79,,-51.37,1.08,-13.32,-0.19,0.81,-0.13,-0.07,2.19,-0.35,51191000,-1.92,-10682000.0,0.4
DBENERGY,DBE,7.4,1.87,-0.93,,7.99,1.73,-0.73,,5.04,2.74,20.66,2.58,-129.89,-28.27,-12.6,-4.63,-9.14,-11.66,-12.9,-13.14,,-3.63,0.63,1.72,0.87,0.06,5.87,0.69,0.72,2.25,41139000,-74.39,23852000.0,-43.13
DEBICA,DEBICA,102.15,0.82,13.51,6.2,196.48,0.43,13.86,6.05,38.4,2.18,82.91,0.42,3.98,5.98,13.22,7.91,7.05,6.88,3.51,8.55,4.41,8.12,0.35,0.58,0.0,192.28,1.53,0.6,0.61,0.85,306151000,1.07,-12316000.0,-0.04
